Library,Title,Date,Time,Location,Age Group,Program Type,Description,Link
Chicago Parks,Frozen Ocean Skate at Warren,"Thursday, January 09, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/frozen-ocean-skate-warren
Chicago Parks,Winter Walk and Bonfire at Hegewisch Marsh,"Friday, January 10, 2025",Not found,"13200-13298 S. Torrence Ave. Chicago, IL 60633",All Ages,Nature/Outdoors,Not found,https://www.chicagoparkdistrict.com/events/winter-walk-and-bonfire-hegewisch-marsh
Chicago Parks,Creative Space Grand Opening at Douglass,"Friday, January 10, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/creative-space-grand-opening-douglass
Chicago Parks,Winter Wonder Fest at Warren,"Saturday, January 11, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonder-fest-warren
Chicago Parks,Chicago's First Responder Yoga at Oriole,"Sunday, January 12, 2025",Not found,"5430 N. Olcott Ave. Chicago, IL 60656",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-oriole-24
Chicago Parks,Chicago's First Responder Yoga at Ridge,"Sunday, January 12, 2025",Not found,"1817 W. 96th Street Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-ridge-23
Chicago Parks,Tween Tuesday at Brainerd,"Monday, January 13, 2025",Not found,"1246 W. 92nd St. Chicago, IL 60620",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tween-tuesday-brainerd-0
Chicago Parks,Silver Skates at Warren,"Tuesday, January 14, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-warren
Chicago Parks,Silver Skates at Wentworth,"Wednesday, January 15, 2025",Not found,"5625 S. Mobile Ave. Chicago, IL 60638",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-wentworth
Chicago Parks,Chicago's First Responder Yoga at Norwood,"Wednesday, January 15, 2025",Not found,"5801 N. Natoma Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-norwood-26
Chicago Parks,Frozen Ocean Skate at McKinley,"Thursday, January 16, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/frozen-ocean-skate-mckinley
Chicago Parks,Stewardship Days at Big Marsh,"Friday, January 17, 2025",Not found,"11559 S. Stony Island Ave. Chicago, IL 60617",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/stewardship-days-big-marsh-1
Chicago Parks,Snowy Owl Irruption! at NPV,"Friday, January 17, 2025",Not found,"5801 N. Pulaski Rd. Chicago, IL 60646",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/snowy-owl-irruption-npv
Chicago Parks,Toy Swap & Share at Sheil,"Friday, January 17, 2025",Not found,"3505 N. Southport Ave. Chicago, IL 60657",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/toy-swap-share-sheil
Chicago Parks,Winter Wonder Fest at Midway Plaisance,"Saturday, January 18, 2025",Not found,"1130 Midway Plaisance North Chicago, IL 60637",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonder-fest-midway-plaisance
Chicago Parks,Deaf & HOH Family Skate at Mt. Greenwood,"Saturday, January 18, 2025",Not found,"3721 W. 111th St. Chicago, IL 60655",Kids/Family,Recreation,Not found,https://www.chicagoparkdistrict.com/events/deaf-hoh-family-skate-mt-greenwood
Chicago Parks,Gaga Ball Tournament at Olympia,"Sunday, January 19, 2025",Not found,"6566 N. Avondale Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/gaga-ball-tournament-olympia
Chicago Parks,Play in the Park Girls Clinic at Douglass,"Sunday, January 19, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/play-park-girls-clinic-douglass-0
Chicago Parks,Tween Tuesday at Durkin,"Monday, January 20, 2025",Not found,"8445 S. Kolin Ave. Chicago, IL 60652",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tween-tuesday-durkin-0
Chicago Parks,Chicago's First Responder Yoga at Norwood,"Wednesday, January 22, 2025",Not found,"5801 N. Natoma Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-norwood-27
Chicago Parks,Frozen Ocean Skate at Midway Plaisance,"Thursday, January 23, 2025",Not found,"1130 Midway Plaisance North Chicago, IL 60637",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/frozen-ocean-skate-midway-plaisance
Chicago Parks,Blizzard Bash at Olympia,"Friday, January 24, 2025",Not found,"6566 N. Avondale Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/blizzard-bash-olympia
Chicago Parks,Polar Adventure Day at Northerly Island,"Friday, January 24, 2025",Not found,"1521 S. Linn White Dr. Chicago, IL 60605",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/polar-adventure-day-northerly-island
Chicago Parks,Chicago's First Responder Yoga at Oriole,"Sunday, January 26, 2025",Not found,"5430 N. Olcott Ave. Chicago, IL 60656",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-oriole-25
Chicago Parks,Chicago's First Responder Yoga at Ridge,"Sunday, January 26, 2025",Not found,"1817 W. 96th Street Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-ridge-24
